Song Name,Language,Hit Year,Song Artist,Source,Decade
Love me please love me,EN,1966,Michael Polnareff,CLASIFICACION NACIONAL DEL DISCO/ABC,1960
un sorbito de champagne,ES,1966,los brincos,Los$40$,1960
Girl,EN,1966,The beatles,Los$40$,1960
Paint it black,EN,1966,The Rolling Stones,Los$40$,1960
To make a big man cry,EN,1966,Tom Jones,Los$40$,1960
Lady Pepa,ES,1966,Los Pekenikes,Los$40$,1960
La resa dei conti (La caccia),ES,1966,Morricone,Los$40$,1960
Como ayer,ES,1966,Bruno Lomas,Los$40$,1960
River deep - Mountain high,EN,1966,Ike & Tina Turner,Los$40$,1960
With a girl like you,EN,1966,The Troggs,Los$40$,1960
Sitting and thinking,EN,1966,The Spencer Davis Group,Los$40$,1960
La moto,ES,1967,Los bravos,Los Superventas,1960
Reach out I'll be there,EN,1967,The four tops,Los Superventas,1960
Winchester cathedral,EN,1967,The new vaudeville band,Los Superventas,1960
Good vibrations,EN,1967,The beach boys,Los Superventas,1960
Hablemos de amor,ES,1967,Raphael,Los Superventas,1960
Marionetas en la cuerda,ES,1967,Sandie Shaw,Los Superventas,1960
La caza,ES,1967,Juan y junior,CLASIFICACION NACIONAL DEL DISCO/ABC,1960
Lola,ES,1967,Los brincos,CLASIFICACION NACIONAL DEL DISCO/ABC,1960
A whiter shade of pale,EN,1967,Procol Harum,CLASIFICACION NACIONAL DEL DISCO/ABC,1960
San Francisco,EN,1967,Scott McKenzie,CLASIFICACION NACIONAL DEL DISCO/ABC,1960
The World We Knew (Over and over),EN,1967,Frank Sinatra,CLASIFICACION NACIONAL DEL DISCO/ABC,1960
Los chicos con las chicas,ES,1967,Los bravos,Los Superventas,1960
El concierto de Aranjuez,ES,1967,Richard Anthony,Los Superventas,1960
Land of1000 dances,EN,1967,Wilson Pickett,Los$40$,1960
Nada,ES,1967,Juan y junior,Los$40$,1960
Inch'allah,FR,1967,Adamo,Los$40$,1960
All you need is love,EN,1967,The beatles,Los$40$,1960
callate niña,ES,1968,picnic,Los Superventas,1960
Soul finger,EN,1968,The bar-kays,Los Superventas,1960
Pata pata,XO/EN,1968,Miriam Makeba,Los Superventas,1960
I'm coming home,EN,1968,Tom Jones,Los Superventas,1960
"La, la, la",ES,1968,Massiel,Los Superventas,1960
Congratulations,ES,1968,Cliff Richard,Los Superventas,1960
Delilah,EN,1968,Tom Jones,Los Superventas,1960
Get on your knees,EN,1968,Los canarios,Los Superventas,1960
"Oh lord, why lord",EN,1968,Pop tops,Los Superventas,1960
Those were the days,EN,1968,Mary Hopkin,Los Superventas,1960
Hey jude,EN,1968,The beatles,Los Superventas,1960
Eloise,EN,1969,Barry Ryan,Los Superventas,1960
La fiesta,ES,1969,Karina,Los Superventas,1960
Las flechas del amor,ES,1969,Karina,Los Superventas,1960
Vivo cantando,ES,1969,Salome,Los Superventas,1960
casatschok,ES,1969,georgie dann,Los Superventas,1960
Cuentame,ES,1969,Formula V,Los Superventas,1960
Maman maman,FR,1969,Jean Jacques,Los Superventas,1960
Get back,EN,1969,The beatles,Los Superventas,1960
Maria Isabel,ES,1969,Los payos,Los Superventas,1960
The ballad of John and Yoko,EN,1969,The beatles,Los Superventas,1960
In the ghetto,EN,1969,Elvis Presley,Los Superventas,1960
La charanga,ES,1969,Juan Pardo,Los Superventas,1960
In the year 2525,EN,1969,Zager & Evans,Los Superventas,1960
Sugar sugar,EN,1969,The archies,Los Superventas,1960
I'm going home,EN,1969,Ten Years After,Los$40$,1960
Corpiño xeitoso,GL,1970,andres do barro,Los Superventas,1970
El abuelo Vitor,ES,1970,Victor Manuel,Los Superventas,1970
El condor pasa,ES,1970,Simon & Garfunkel,Los Superventas,1970
Gwendolyne,ES,1970,Julio Iglesias,Los Superventas,1970
naveiriña do mar,GL,1970,maria ostiz,Los Superventas,1970
Quiero abrazarte tanto,ES,1970,Victor Manuel,Los Superventas,1970
"Te quiero, te quiero",ES,1970,Nino Bravo,Los Superventas,1970
Un rayo de sol,ES,1970,Los diablos,Los Superventas,1970
Venus,EN,1970,The shocking blue,Los Superventas,1970
Yellow river,EN,1970,Christie,Los Superventas,1970
Another day,EN,1971,Paul McCartney,Los Superventas,1970
Baby jump,EN,1971,Mungo Jerry,Los$40$,1970
Borriquito,ES,1971,Peret,Los$40$,1970
Brown sugar,EN,1971,The Rolling Stines,Los$40$,1970
Candida,EN,1971,Dawn,Los Superventas,1970
Carmen,ES,1971,Trebol,Los$40$,1970
En mis sueños,ES,1971,Blume,Los$40$,1970
Fin de semana,ES,1971,Los diablos,Los Superventas,1970
Get it on,EN,1971,T Rex,Los$40$,1970
Help (get me some help),EN,1971,Tony Ronald,Los Superventas,1970
Historia de amor,ES,1971,Atrud Gilberto,Los$40$,1970
Maggie May,EN,1971,Rob Stewart,Los$40$,1970
Mamy Blue,EN,1971,Joel Dayde,Los Superventas,1970
Manda Christmas,EN,1971,Los diablos,Los$40$,1970
My sweet Lord,EN,1971,George Harrison,Los Superventas,1970
Pandeirada,GL,1971,Andres do barro,Los$40$,1970
Que sera,ES,1971,Jose Felcianio,Los Superventas,1970
Sing sing Barbara,EN,1971,Laurent & The Mardi Grass,Los$40$,1970
Theme from love story,EN,1971,Francis Lai,Los$40$,1970
Tierras lejanas,ES,1971,Basilio,Los Superventas,1970
Yo confieso,ES,1971,Mari Trini,Los$40$,1970
"¡Oh, oh, July!",EN,1972,Los diablos,Los Superventas,1970
Adios tristezas,ES,1972,Micky,Los$40$,1970
Algo de mi,ES,1972,Camilo sesto,Los Superventas,1970
Amarillo,ES,1972,Tony Christie,Los Superventas,1970
"Amor, hablame dulcemente",ES,1972,Andy Williams,Los Superventas,1970
Cantares,ES,1972,Miguel Rios,Los$40$,1970
El chico de la armonica,ES,1972,Micky,Los Superventas,1970
El refugio,ES,1972,Miguel Rios,Los$40$,1970
Give Ireland back to the Irish,EN,1972,Wings,Los Superventas,1970
"Hello, Buddy",EN,1972,The Tremeloes,Los$40$,1970
I love you baby,EN,1972,Tony Ronald,Los$40$,1970
Matame,ES,1972,Arena Caliente,Los$40$,1970
Por el amor de una mujer,ES,1972,Julio Iglesias,Los$40$,1970
Soley soley,EN,1972,Middle of the Road,Los$40$,1970
Son of my father,EN,1972,Chicory tip,Los Superventas,1970
Soy rebelde,ES,1972,Jeanette,Los Superventas,1970
Take me bak'ome,EN,1972,Slade,Los$40$,1970
The witch queen of New Orleans,EN,1972,Redbone,Los$40$,1970
Tiempo feliz,ES,1972,Marisol,Los$40$,1970
Un beso y una flor,ES,1972,Nino Bravo,Los$40$,1970
Ve con el,ES,1972,Basilio,Los$40$,1970
Woman to woman,EN,1972,Joe Cocker,Los$40$,1970
Yo no soy esa,ES,1972,Mari Trini,Los Superventas,1970
Algo mas,ES,1973,Camilo sesto,Los Superventas,1970
"America, America",ES,1973,Nino Bravo,Los Superventas,1970
Amor amar,ES,1973,Camilo sesto,Los Superventas,1970
Can the can,EN,1973,Suzi Quatro,Los Superventas,1970
Charly,EN,1973,Santabarbara,Los Superventas,1970
Eres tu,ES,1973,Mocedades,Los Superventas,1970
Eva Maria,ES,1973,Formula V,Los Superventas,1970
Forever and ever,EN,1973,Demis Roussos,Los$40$,1970
Get down,EN,1973,Gilbert O'Sullivan,Los$40$,1970
"Hi, hi, hi",EN,1973,Wings,Los Superventas,1970
It never rains in southern California,EN,1973,Albert Hammond,Los Superventas,1970
La estrella de David,ES,1973,Juan Bau,Los$40$,1970
Pardon me sir,EN,1973,Joe Cocker,Los$40$,1970
Por si tu quieres saber,ES,1973,Jairo,Los$40$,1970
Sugar me,EN,1973,Lynsey de Paul,Los Superventas,1970
Todo por nada,ES,1973,Camilo sesto,Los$40$,1970
48 crash,EN,1974,Suzi Quatro,Los Superventas,1970
Actitudes,ES,1974,Roberto Carlos,Los$40$,1970
Ayudadme,ES,1974,Camilo sesto,Los Superventas,1970
Ballroom blitz,EN,1974,Sweet,Los$40$,1970
Conversaciones conmigo mismo,ES,1974,Juan Pardo,Los$40$,1970
Devil gate drive,EN,1974,Suzi Quatro,Los$40$,1970
La distancia,ES,1974,Roberto Carlos,Los Superventas,1970
Let me get to know you,EN,1974,Paul Anka,Los Superventas,1970
Love's theme,EN,1974,The love unlimited orchestra,Los Superventas,1970
Photograph,EN,1974,Ringo Star,Los$40$,1970
Rock your baby,EN,1974,George McCare,Los Superventas,1970
"Someday, somewhere",EN,1974,Demis Roussos,Los Superventas,1970
The sound of philadelphia,EN,1974,MFSB & three degrees,Los Superventas,1970
Todo el tiempo del mundo,ES,1974,Manolo Otero,Los Superventas,1970
Tomame o dejame,ES,1974,Mocedades,Los Superventas,1970
"Una, dos y tres",ES,1974,Patxi Andion,Los$40$,1970
Amor amor,ES,1975,Lolita,Los Superventas,1970
Bella sin alma,ES,1975,Richard Cocciante,Los Superventas,1970
Caballo negro,Music,1975,Manolo Sanlucar,Los$40$,1970
El Bimbo,ES,1975,Georgie Dann,Los Superventas,1970
El solitario,ES,1975,Nubes Grises,Los$40$,1970
Feelings,ES,1975,Morris Albert,Los Superventas,1970
Femmes,Music,1975,Nathalie et Christie,Los Superventas,1970
Hi-Jack,EN,1975,Barrabas,Los$40$,1970
I can help,EN,1975,Billy Swan,Los$40$,1970
Melina,ES,1975,Camilo sesto,Los Superventas,1970
neniña,ES,1975,pepe domingo castaño,Los$40$,1970
One of these nights,EN,1975,The Eagles,Los$40$,1970
Que no soy yo,ES,1975,Joan Baptista Humet,Los$40$,1970
Quedate,ES,1975,Miguel Gallardo,Los$40$,1970
"Saca el guisky, Cheli",ES,1975,Desmadre 75,Los$40$,1970
Secretaria,ES,1975,Mocedades,Los$40$,1970
The hustle,EN,1975,Van McCoy,Los Superventas,1970
Una paloma blanca,ES,1975,George Baker Selection,Los Superventas,1970
Ven otra vez,ES,1975,Toni Artis,Los$40$,1970
Vete vete,ES,1975,Daniel Velazquez,Los$40$,1970
Y te vas,ES,1975,Jose Luis Perales,Los$40$,1970
"You're the first, the last, my everything",EN,1975,Barry White,Los Superventas,1970
Adios,ES,1976,Tony Landa,Los$40$,1970
De amor ya no se muere,ES,1976,Gianni Bella,Los$40$,1970
Disco stomp,EN,1976,Hamilton Bohannon,Los$40$,1970
Don't go breaking my heart,EN,1976,Elton John,Los$40$,1970
Donde estan tus ojos negros,ES,1976,Santabarbara,Los$40$,1970
Echame a mi la culpa,ES,1976,Albert Hammond,Los Superventas,1970
El jardin prohibido,ES,1976,Sandro Giacobbe,Los Superventas,1970
El sur,ES,1976,Los puntos,Los$40$,1970
Esa eres tu,ES,1976,Danny Daniel,Los$40$,1970
Europa,ES,1976,Santana,Los Superventas,1970
Fantasia,ES,1976,Juan Bau,Los$40$,1970
Fly Robin fly,EN,1976,Silver Convention,Los Superventas,1970
Getsemani,ES,1976,Camilo sesto,Los$40$,1970
Hablame del mar marinero,ES,1976,Marisol,Los$40$,1970
Hoy tengo ganas de ti,ES,1976,Miguel Gallardo,Los Superventas,1970
Jamas,ES,1976,Camilo sesto,Los$40$,1970
Jurame,ES,1976,Juan Camacho,Los$40$,1970
Libertad sin ira,ES,1976,Jarcha,Los Superventas,1970
Nada va a cambiar el mundo,ES,1976,Los Angeles,Los$40$,1970
