Song Name,Language,Hit Year,Song Artist,Source,Decade
Te quiero,ES,1981,Jose Luis Perales,Los$40$,1980
Te quiero tanto,ES,1981,Ivan,Los Superventas,1980
The best of times,EN,1981,Styx,Los$40$,1980
Todo se derrumbo dentro de mi,ES,1981,Emmanuel,Los$40$,1980
Tu solo tu,ES,1981,Bertin Osborne,Los$40$,1980
Una noche de amor desesperada,ES,1981,Triana,Los$40$,1980
What's in a kiss,EN,1981,Gilbert o'sullivan,Los Superventas,1980
A la porra la sarten,ES,1982,Carmin,Los$40$,1980
Abracadabra,EN,1982,Steve miller band,Los Superventas,1980
Abrazame,ES,1982,Bertin Osborne,Los$40$,1980
Amor de hombre,ES,1982,Mocedades,Los Superventas,1980
Babe we're gonna love tonight,EN,1982,Lime II,Los Superventas,1980
Bailando,ES,1982,Alaska,Los$40$,1980
Besame tonta,ES,1982,OMD,Los$40$,1980
Bienvenidos,ES,1982,Miguel Rios,Los Superventas,1980
Bravo muchachos,ES,1982,Miguel Bose,Los$40$,1980
Can't take my eyes off you,EN,1982,Boys tong gang,Los Superventas,1980
Como una ola,ES,1982,Rocio Jurado,Los$40$,1980
Dos enamorados,ES,1982,Pedro Marin,Los$40$,1980
Dueño de nada,ES,1982,Jose Luis Rodriguez,Los$40$,1980
EbonyyIvory,EN,1982,Paul McCartney,Los Superventas,1980
El,ES,1982,Lucia,Los$40$,1980
El blues del autobus,ES,1982,Miguel Rios,Los$40$,1980
Eye in the sky,EN,1982,Alan parsons project,Los Superventas,1980
Eye of the tiger,EN,1982,Survivor,Los$40$,1980
La Felicidad,ES,1982,al bano and romina power,Los$40$,1980
Frente al amor,ES,1982,Maria Jimenez,Los$40$,1980
Hay que ver,ES,1982,Juan Pardo,Los$40$,1980
It's raining again,EN,1982,Supertramp,Los$40$,1980
Just an illusion,EN,1982,Imagination,Los Superventas,1980
La ladrona,ES,1982,Paolo Savatore,Los$40$,1980
Las leandras,ES,1982,Luis Cobos,Los$40$,1980
Latino,ES,1982,Francisco,Los$40$,1980
Los rockeros van al infierno,ES,1982,Baron rojo,Los$40$,1980
Love is in control,EN,1982,Donna Summer,Los$40$,1980
Maid of orleans,EN,1982,OMD,Los Superventas,1980
Maquillaje,ES,1982,Mecano,Los$40$,1980
Me cole en una fiesta,ES,1982,Mecano,Los Superventas,1980
Me estoy volviendo loco,ES,1982,Azul y negro,Los$40$,1980
More than this,EN,1982,Roxy Music,Los$40$,1980
Music and lights,EN,1982,Imagination,Los$40$,1980
No aguanto mas,ES,1982,Luz Casal,Los$40$,1980
No me vuelvo a enamorar,ES,1982,Julio Iglesias,Los$40$,1980
No puedo enamorarme de ti,ES,1982,Antonio Flores,Los$40$,1980
No sucedera mas,ES,1982,Claudia Mori,Los Superventas,1980
On my own,EN,1982,Nikka costa,Los Superventas,1980
One of us,EN,1982,ABBA,Los$40$,1980
Por amor,ES,1982,Jose Luis Perales,Los$40$,1980
Que dolor,ES,1982,Rafgaella Carra,Los$40$,1980
Que no lastimen a tu corazon,ES,1982,Los pecos,Los$40$,1980
Que tire la toalla,ES,1982,Leño,Los$40$,1980
Sera porque te amo,ES,1982,Ricchi e poveri,Los Superventas,1980
shazaran,IT,1982,al bano and romina power,Los Superventas,1980
Si la vieras con mis ojos,ES,1982,Dyango,Los$40$,1980
Some folks,EN,1982,Street Boys,Los$40$,1980
Souvenir,EN,1982,OMD,Los Superventas,1980
Tonight I'm yours,EN,1982,Rob Stewart,Los$40$,1980
Tu y yo,ES,1982,Emmanuel,Los$40$,1980
Un toque de locura,ES,1982,Jose Luis Rodriguez,Los$40$,1980
Va a estallar el obus,ES,1982,Obus,Los$40$,1980
We kill the world,EN,1982,Boney M,Los$40$,1980
Words,EN,1982,FR David,Los Superventas,1980
All right,EN,1983,Christopher Cross,Los$40$,1980
Baby Jane,EN,1983,Rob Stewart,Los$40$,1980
Baila conmigo,ES,1983,Rita Lee,Los$40$,1980
Barco a venus,ES,1983,Mecano,Los Superventas,1980
Billie Jean,EN,1983,Michael Jackson,Los Superventas,1980
Caballo de batalla,ES,1983,Juan Pardo,Los$40$,1980
Cada loco con su tema,ES,1983,Joan Manuel Serrat,Los$40$,1980
Desire,EN,1983,Future World Orchestra,Los$40$,1980
Devuelveme mi libertad,ES,1983,Camilo sesto,Los$40$,1980
Dolce vita,EN,1983,Ryan Paris,Los Superventas,1980
El baron del bide,ES,1983,La trinca,Los$40$,1980
El rock de una noche de verano,ES,1983,Miguel Rios,Los$40$,1980
Embrujada,ES,1983,Tono Casal,Los Superventas,1980
Eres tu,ES,1983,Luz Casal,Los$40$,1980
Every breath you take,EN,1983,The police,Los$40$,1980
Fame,EN,1983,Irene cara,Los$40$,1980
Flashdance what a feeling,EN,1983,Irene cara,Los Superventas,1980
Genetic engineering,EN,1983,OMD,Los$40$,1980
I like chopin,EN,1983,Gazebo,Los Superventas,1980
Karma chamaleon,EN,1983,Culture club,Los Superventas,1980
La fiesta nacional,ES,1983,Mecano,Los$40$,1980
La noche no es para mi,ES,1983,Video,Los$40$,1980
Last night a Dj saved my life,EN,1983,Indeep,Los$40$,1980
Let's dance,EN,1983,David Bowie,Los$40$,1980
Lies,EN,1983,The Thompson Twins,Los$40$,1980
Mamma Maria,IT,1983,Ricchi e poveri,Los$40$,1980
Maneater,EN,1983,daryl hall  john oates,Los Superventas,1980
Maniac,EN,1983,Michael Sembello,Los$40$,1980
Mi mundo tu,ES,1983,Camilo sesto,Los$40$,1980
Mirror man,EN,1983,The human league,Los$40$,1980
Moonlight shadow,EN,1983,Mike oldfield,Los Superventas,1980
No estas sola,ES,1983,Miguel Rios,Los$40$,1980
No tengo tiempo,ES,1983,Azul y negro,Los Superventas,1980
Pass the dutchie,EN,1983,Musical youth,Los Superventas,1980
Por volverte a ver,ES,1983,Dyango,Los$40$,1980
Quien piensa en ti,ES,1983,Gonzalo,Los$40$,1980
Scotland and the brave,EN,1983,The Royal Philarmonic Orchestra,Los$40$,1980
Se puede decir,ES,1983,Platino,Los$40$,1980
She works hard for the money,EN,1983,Donna Summer,Los$40$,1980
The girl is mine,EN,1983,Michael Jackson,Los Superventas,1980
The night,EN,1983,Azul y negro,Los$40$,1980
The woman in you,EN,1983,Bee Gees,Los$40$,1980
Tiempo de amor,ES,1983,Danza Invisible,Los$40$,1980
TRUE,EN,1983,Spandau Ballet,Los$40$,1980
Tu cadena,ES,1983,Francisco,Los$40$,1980
Un paso adelante,ES,1983,Emilio Jose,Los$40$,1980
Victimas del desamor,ES,1983,Video,Los$40$,1980
Volvere,ES,1983,Chiquetete,Los$40$,1980
Wrapped around your finger,EN,1983,The Police,Los$40$,1980
Y como es el,ES,1983,Jose Luis Perales,Los$40$,1980
You are a danger,EN,1983,Gary Low,Los Superventas,1980
Adrenalina,ES,1984,Ole ole,Los$40$,1980
Ali shuffle,EN,1984,Camaro's gang,Los$40$,1980
All night long,EN,1984,Lionel Richie,Los Superventas,1980
All of you,EN,1984,Julio Iglesias,Los Superventas,1980
Amor de mujer,ES,1984,Camilo sesto,Los$40$,1980
Arturo,ES,1984,Cadillac,Los$40$,1980
Blue jean,EN,1984,David Bowie,Los$40$,1980
Cerca de ti,ES,1984,Los Elegantes,Los$40$,1980
Como pudiste hacerme esto a mi,ES,1984,Alaska,Los Superventas,1980
Conspiracion,ES,1984,Ole ole,Los$40$,1980
Decidete,ES,1984,Luis Miguel,Los$40$,1980
Desidia,ES,1984,Objetivo Birmania,Los$40$,1980
El hombre lobo,ES,1984,Azul y negro,Los$40$,1980
El pistolero,ES,1984,Pistones,Los$40$,1980
Esta cobardia,ES,1984,Chiquetete,Los$40$,1980
Esta noche me quiero descolgar,ES,1984,Trupita,Los$40$,1980
Eterna melodia,ES,1984,Bertin Osborne,Los$40$,1980
Fotonovela,ES,1984,Ivan,Los$40$,1980
High energy,EN,1984,Evelyn Thomas,Los Superventas,1980
I just called to say I love you,EN,1984,Stivie Wonder,Los Superventas,1980
Joanna,EN,1984,Kool and the gang,Los$40$,1980
Juegos de amor,ES,1984,Diseño,Los$40$,1980
La colegiala,ES,1984,Gary Low,Los Superventas,1980
Lady lady,ES,1984,Bravo,Los$40$,1980
Lobo-hombre en Paris,ES,1984,La union,Los Superventas,1980
Los ojos del gato,ES,1984,Luz Casal,Los$40$,1980
Mangas cortas,ES,1984,Los Elegantes,Los$40$,1980
No me puedes dejar asi,ES,1984,Luis Miguel,Los$40$,1980
Nobody told me,EN,1984,John Lennon,Los$40$,1980
Noches de san juan,ES,1984,Bertin Osborne,Los$40$,1980
Obsesion,ES,1984,Platino,Los$40$,1980
One love,EN,1984,Bob Marley,Los$40$,1980
Only when you leave,EN,1984,Spandau Ballet,Los$40$,1980
Panico en el eden,ES,1984,Tino Casal,Los$40$,1980
Paris latino,ES,1984,Bandolero,Los$40$,1980
Piel de terciopelo,ES,1984,Pato de goma,Los$40$,1980
Radio Ga Ga,EN,1984,Queen,Los$40$,1980
Running with the night,EN,1984,Lionel Richie,Los$40$,1980
Say say say,EN,1984,Paul McCartney,Los Superventas,1980
Send me an angel,EN,1984,Real Life,Los$40$,1980
Si tu la vieras,ES,1984,Los pecos,Los$40$,1980
Sildavia,ES,1984,La union,Los$40$,1980
Somebody's watching me,EN,1984,Rockwell,Los Superventas,1980
State of shock,EN,1984,The Jacksons,Los$40$,1980
Susanna,EN,1984,The art company,Los$40$,1980
Tentacion,ES,1984,Jose Luis Perales,Los Superventas,1980
Thriller,EN,1984,Michael Jackson,Los Superventas,1980
Todo a pulmon,ES,1984,Miguel Rios,Los$40$,1980
Transparente maniqui,ES,1984,RH,Los$40$,1980
Una de dos,ES,1984,Luis Eduardo Aute,Los$40$,1980
Undercover of the night,EN,1984,The Rolling Stones,Los$40$,1980
Union of the snake,EN,1984,Duran Duran,Los$40$,1980
Vuelve,ES,1984,Gonzalo,Los$40$,1980
Why,EN,1984,Bronski Beat,Los$40$,1980
A view to a kill,EN,1985,Duran Duran,Los$40$,1980
Agradecido,ES,1985,Rosendo,Los$40$,1980
Alive and kicking,EN,1985,Simple Minds,Los$40$,1980
Amanda,ES,1985,Paolo Savatore,Los$40$,1980
Amante bandido,ES,1985,Miguel Bose,Los Superventas,1980
Angel,EN,1985,Madonna,Los$40$,1980
Arte moderno,ES,1985,La Mode,Los$40$,1980
Baila,ES,1985,Ivan,Los Superventas,1980
Baila para mi,ES,1985,Dina,Los$40$,1980
Breakthoven,ES,1985,Baron rojo,Los$40$,1980
Cabaret,ES,1985,La union,Los$40$,1980
Camarero,ES,1985,Enrique del Pozo,Los$40$,1980
Dancing in the street,EN,1985,David Bowie,Los$40$,1980
El africano,ES,1985,Georgie Dann,Los$40$,1980
El sur tambien existe,ES,1985,Joan Manuel Serrat,Los$40$,1980
Estamos desesperados,ES,1985,Ramoncin,Los$40$,1980
Fresh,EN,1985,Kool and the gang,Los$40$,1980
Ghostbusters,EN,1985,Ray Parker JR,Los Superventas,1980
Grite una noche,ES,1985,Nacha Pop,Los$40$,1980
How much,EN,1985,Gary Low,Los$40$,1980
If you love somebody set them free,EN,1985,Sting,Los$40$,1980
Into the groove,EN,1985,Madonna,Los Superventas,1980
Just another night,EN,1985,Mick Jagger,Los$40$,1980
La Decada en Rio,ES,1985,La Decada prodigiosa,Los$40$,1980
Lay your hands on me,EN,1985,The Thompson Twins,Los$40$,1980
Let's talk about me,EN,1985,The Alan Parsons Project,Los$40$,1980
Live is life,EN,1985,Opus,Los Superventas,1980
Material girl,EN,1985,Madonna,Los$40$,1980
Ni tu ni nadie,ES,1985,Alaska,Los Superventas,1980
Ninna,ES,1985,Juan Pardo,Los$40$,1980
No te aguanto mas,ES,1985,Objetivo Birmania,Los$40$,1980
Numeros rojos,ES,1985,Azul y negro,Los$40$,1980
Part time lover,EN,1985,Stevie wonder,Los Superventas,1980
Que peligro tiene,ES,1985,Juan Pardo,Los$40$,1980
Tarzan boy,EN,1985,Baltimora,Los Superventas,1980
The lady don't mind,EN,1985,Talking Heads,Los$40$,1980
The never ending story,EN,1985,Limahl,Los Superventas,1980
There must be an angel,EN,1985,Eurythmics,Los$40$,1980
Tu no tienes corazon,ES,1985,Luis Miguel,Los$40$,1980
Una noche sin ti,ES,1985,Ana Curra,Los$40$,1980
Venezia,IT,1985,Hombres G,Los$40$,1980
Voy a mil,ES,1985,Ole ole,Los$40$,1980
We are the world,EN,1985,USA for africa,Los Superventas,1980
We don't need another hero,EN,1985,Tina Turner,Los$40$,1980
Woodpeckers from space,EN,1985,Video kids,Los Superventas,1980
Woody boogie,EN,1985,Baltimora,Los$40$,1980
You can win if you want,EN,1985,Modern Talking,Los$40$,1980
A kind of magic,EN,1986,Queen,Los$40$,1980
A quien le importa,ES,1986,Alaska,Los Superventas,1980
Al calor del amor en un bar,ES,1986,Gabinete caligari,Los$40$,1980
Atlantis is calling,EN,1986,Modern Talking,Los$40$,1980
Ay que pesado,ES,1986,Mecano,Los$40$,1980
Bailando sin salir de casa,ES,1986,Ole ole,Los$40$,1980
Broken wings,EN,1986,Mr Mister,Los$40$,1980
Brother Louie,EN,1986,Modern Talking,Los Superventas,1980
Dancing in Paris,EN,1986,Angel,Los$40$,1980
Dejad que las niñas se acerquen a mi,ES,1986,Hombres G,Los$40$,1980
Easy lady,EN,1986,Spagna,Los Superventas,1980
El imperio contaataca,ES,1986,Los Nikis,Los$40$,1980
El tomavistas,ES,1986,Paolo Savatore,Los$40$,1980
El tonto simon,ES,1986,Radio futura,Los$40$,1980
Geronimo's cadilac,EN,1986,Modern Talking,Los Superventas,1980
Harlem shuffle,EN,1986,The Rolling Stones,Los$40$,1980
Hey Mademoiselle,ES,1986,Ivan,Los$40$,1980
Irresistible,EN,1986,Stephanie,Los Superventas,1980
Janey don't you lose heart,EN,1986,Bruce Springsteen,Los Superventas,1980
La puerta de Alcala,ES,1986,victor manuel y ana belen,Los Superventas,1980
Lili Marlen,ES,1986,Ole ole,Los$40$,1980
Living in another world,EN,1986,Talk talk,Los$40$,1980
Love missile F1-11,EN,1986,Sigue sigue sputnik,Los Superventas,1980
Marta tiene un marca pasos,ES,1986,Hombres G,Los$40$,1980
Nena,ES,1986,Miguel Bose,Los$40$,1980
Nikita,EN,1986,Elton John,Los$40$,1980
Que te quiero,ES,1986,Katrina and the waves,Los$40$,1980
Right between the eyes,EN,1986,Wax,Los$40$,1980
Rock me Amadeus,EN,1986,Falco,Los Superventas,1980
Rufino,ES,1986,Luz Casal,Los$40$,1980
Say you say me,EN,1986,Lionel Richie,Los Superventas,1980
Si tu eres mi hombre y yo tu mujer,ES,1986,Jennifer Rush,Los Superventas,1980
Te esperare,ES,1986,Agustin Pantoja,Los$40$,1980
That's what friends are for,EN,1986,Dionne Warwick,Los$40$,1980
The captain of her heart,EN,1986,Double,Los$40$,1980
This is my life,EN,1986,Eartha kitt,Los$40$,1980
Typical male,EN,1986,Tina Turner,Los Superventas,1980
West end girls,EN,1986,Pet shop boys,Los$40$,1980
When the going gets tough the tough gets going,EN,1986,Billy ocan,Los$40$,1980
37 grados,ES,1987,Radio futura,Los$40$,1980
Alien Divino,ES,1987,German Coppini,Los$40$,1980
America latina,ES,1987,La Decada prodigiosa,Los$40$,1980
Bad,EN,1987,Michael Jackson,Los Superventas,1980
Balla balla,IT,1987,Francesco Napoli,Los$40$,1980
Boys boys boys,EN,1987,Sabrina,Los$40$,1980
Brilliant disguise,EN,1987,Bruce Springsteen,Los$40$,1980
Call me,EN,1987,Spagna,Los$40$,1980
City lights,EN,1987,William Pitt,Los$40$,1980
Como un susurro,ES,1987,Ramoncin,Los$40$,1980
Contra el viento,ES,1987,Agustin Pantoja,Los$40$,1980
Corazon de neon,ES,1987,OMD,Los$40$,1980
Cuatro  mexicanos,ES,1987,Cuentos chinos,Los$40$,1980
Cuerpos calientes,ES,1987,Ramoncin,Los$40$,1980
Day in day out,EN,1987,David Bowie,Los$40$,1980
Dos corazones y un destino,ES,1987,Bertin Osborne,Los$40$,1980
Ellos las prefieren gordas,ES,1987,OMD,Los$40$,1980
Faith,EN,1987,George Michael,Los$40$,1980
In the army now,EN,1987,Status quo,Los$40$,1980
It's a sin,EN,1987,Pet shop boys,Los Superventas,1980
Jardin de rosas,ES,1987,Duncan Dhu,Los$40$,1980
La bamba,ES,1987,Los lobos,Los Superventas,1980
La sangre de tu tristeza,ES,1987,Gabinete caligari,Los$40$,1980
Learning to fly,EN,1987,Pink Floyd,Los$40$,1980
Master mix,ES,1987,Hombres G,Los$40$,1980
Max Mix 4,Music,1987,Varios,Los$40$,1980
Max Mix 5,Music,1987,Varios,Los$40$,1980
Me cuesta tanto olvidarte,ES,1987,Mecano,Los$40$,1980
Never gonna give you up,EN,1987,Rick astley,Los Superventas,1980
No no no,ES,1987,Hombres G,Los$40$,1980
No puedo evitar pensar en ti,ES,1987,Duncan Dhu,Los$40$,1980
Nothing's gonna stop me now,EN,1987,Samantha Fox,Los$40$,1980
Nothing's gonna stop us now,EN,1987,Starship,Los$40$,1980
Notorious,EN,1987,Duran Duran,Los$40$,1980
One love to give,EN,1987,stephanie,Los$40$,1980
Quiero beber hasta perder el control,ES,1987,Los secretos,Los$40$,1980
Running in the family,EN,1987,Level 42,Los$40$,1980
Shake you down,EN,1987,Gregory Abbott,Los Superventas,1980
Sola con un desconocido,ES,1987,Ole ole,Los$40$,1980
Suburbia,EN,1987,Pet shop boys,Los$40$,1980
The final countdown,EN,1987,Europe,Los Superventas,1980
The Multimix,EN,1987,The Communards,Los Superventas,1980
The right thing,EN,1987,Simply red,Los$40$,1980
Through the barricades,EN,1987,Spandau Ballet,Los$40$,1980
Two people,EN,1987,Tina Turner,Los$40$,1980
Voyage voyage,FR,1987,Desireless,Los Superventas,1980
Walk like an Egyptian,EN,1987,Bangels,Los Superventas,1980
What have I done to deserve this,EN,1987,Pet shop boys,Los$40$,1980
Who's that girl,EN,1987,Madonna,Los$40$,1980
With or without you,EN,1987,U2,Los$40$,1980
Yo tengo una mujer tremenda,ES,1987,Paolo Savatore,Los$40$,1980
A woman loves a man,EN,1988,Joe Cocker,Los$40$,1980
Always on my mind,EN,1988,Pet shop boys,Los Superventas,1980
Asimbonanga,EN,1988,Johnny clegg  savuka,Los$40$,1980
Ayudame,ES,1988,Ramoncin,Los$40$,1980
Bad medicine,EN,1988,Bon Jovi,Los$40$,1980
Be gentle,EN,1988,BVSMP,Los$40$,1980
Camino Soria,ES,1988,Gabinete caligari,Los$40$,1980
Chas y aparezco a tu lado,ES,1988,Alex y christina,Los$40$,1980
Como un lobo,ES,1988,Miguel Bose,Los$40$,1980
Corazon infame,ES,1988,Miguel Bose,Los$40$,1980
Cross my heart,EN,1988,Eighth Wonder,Los$40$,1980
Desire,EN,1988,U2,Los Superventas,1980
Dialogo,ES,1988,Eros Ramazzotti,Los$40$,1980
Domino dancing,EN,1988,Pet shop boys,Los Superventas,1980
Don't worry be happy,EN,1988,Bobby McFerrin,Los$40$,1980
Eloise,ES,1988,Tino Casal,Los Superventas,1980
En algun lugar,ES,1988,Duncan Dhu,Los$40$,1980
Englishman in New York,EN,1988,Sting,Los$40$,1980
Fantastico amor,ES,1988,Eros Ramazzotti,Los$40$,1980
Father figure,EN,1988,George Michael,Los$40$,1980
Flor de verano,ES,1988,Mango,Los$40$,1980
Gimme hope jo'anna,EN,1988,Eddy grant,Los Superventas,1980
girl you know its true,EN,1988,Milli Vanilli,Los Superventas,1980
GTO,EN,1988,Sinitta,Los$40$,1980
Heart,EN,1988,Pet shop boys,Los Superventas,1980
I'm nin' alu,HE,1988,Ofra haza,Los Superventas,1980
Is this love,EN,1988,Whitesnake,Los$40$,1980
La madre,ES,1988,Victor Manuel,Los$40$,1980
My love,EN,1988,Julio Iglesias,Los$40$,1980
Never can't say goodbye,EN,1988,Communards,Los Superventas,1980
No hay marcha en New York,ES,1988,Mecano,Los$40$,1980
Nothing's gonna change my love for you,EN,1988,Glenn Medeiros,Los Superventas,1980
Nutbush city limits,EN,1988,Tina Turner,Los$40$,1980
Perfect,EN,1988,Fairground attraction,Los Superventas,1980
Secretos,ES,1988,Ole ole,Los$40$,1980
Seras mi complice,ES,1988,Complices,Los$40$,1980
Si no te tengo a ti,ES,1988,Hombres G,Los$40$,1980
Sign your name,EN,1988,Terence trent d'arby,Los$40$,1980
Sueltate el pelo,ES,1988,Hombres G,Los$40$,1980
Suite nupcial,ES,1988,Gabinete caligari,Los$40$,1980
Supernatural,ES,1988,Ole ole,Los$40$,1980
The twist,EN,1988,The fat boys,Los$40$,1980
Together forever,EN,1988,Rick astley,Los Superventas,1980
Una calle de Paris,ES,1988,Duncan Dhu,Los$40$,1980
Una fiesta especial,ES,1988,la década prodigiosa,Los$40$,1980
Unchain my heart,EN,1988,Joe Cocker,Los$40$,1980
Vas a enloquecer,ES,1988,La Decada prodigiosa,Los$40$,1980
We'll be together,EN,1988,Sting,Los$40$,1980
Wonderful life,EN,1988,Black,Los$40$,1980
Ya no danzo al son de los tambores,ES,1988,El ultimo de la fila,Los$40$,1980
Yeke yeke,AF,1988,Mory kante,Los Superventas,1980
A este lado de la carretera,ES,1989,Danza invisible,Los$40$,1980
Que díficil es hacer el amor en un Simca 1000,ES,1989,Los inhumanos,Los$40$,1980
Adios papa,ES,1989,Los ronaldos,Los$40$,1980
Aqui no hay playa,ES,1989,The Refrescos,Los$40$,1980
Baby don't forget my number,EN,1989,Milli Vanilli,Los$40$,1980
Bajo la luz de la luna,ES,1989,Los rebeldes,Los$40$,1980
Batdance,EN,1989,Prince,Los$40$,1980
Cadillac solitario,ES,1989,Loquillo y los trogloditas,Los$40$,1980
Chico tienes que cuidarte,ES,1989,Hombres G,Los$40$,1980
Cuelate en mi musica,ES,1989,La Decada prodigiosa,Los$40$,1980
Dançando Lambada,PT,1989,Kaoma,Los$40$,1980
Don't wanna lose you,EN,1989,Gloria estefan,Los$40$,1980
El souvenir,ES,1989,Alex y christina,Los$40$,1980
Entre tu y yo,ES,1989,El norte,Los$40$,1980
Eternal flame,EN,1989,The bangles,Los$40$,1980
Flor venenosa,ES,1989,Heroes del silencio,Los$40$,1980
Good thing,EN,1989,Fine young cannibals,Los$40$,1980
Help,EN,1989,Bananarama,Los$40$,1980
I wanna dance,EN,1989,OMD,Los$40$,1980
I want it all,EN,1989,Queen,Los$40$,1980
Ibiza,Music,1989,Amnesia,Los Superventas,1980
Kiss,EN,1989,Tom jones,Los Superventas,1980
Lambada,PT,1989,Kaoma,Los Superventas,1980
Left to my own devices,EN,1989,Pet shop boys,Los$40$,1980
Like a prayer,EN,1989,Madonna,Los Superventas,1980
Loco Mia,ES/EN,1989,Loco Mia,Los$40$,1980
los amigos de mis amigas,ES,1989,Objetivo Birmania,Los$40$,1980
Losing my mind,EN,1989,Pet shop boys,Los$40$,1980
Lullaby,EN,1989,The cure,Los$40$,1980
Maracaibo,ES,1989,La union,Los$40$,1980
Mas y mas,ES,1989,La union,Los Superventas,1980
Medley,EN,1989,The pasadenas,Los$40$,1980
Mi novio es un zombi,ES,1989,Alaska,Los$40$,1980
Mil calles llevan hacia ti,ES,1989,La guardia,Los$40$,1980
Mixed emotions,EN,1989,The Rolling Stones,Los$40$,1980
Mujer contra mujer,ES,1989,Mecano,Los$40$,1980
My brave face,EN,1989,Paul McCartney,Los$40$,1980
Nada sin ti,ES,1989,Eros Ramazzotti,Los$40$,1980
Por las noches,ES,1989,Los ronaldos,Los$40$,1980
Pump up the jump,EN,1989,Technotronic,Los Superventas,1980
Quiero ser como tu,ES,1989,Rey Lui,Los$40$,1980
Quiero un camion,ES,1989,Loquillo y los trogloditas,Los$40$,1980
Real gone kid,EN,1989,Deacon blue,Los Superventas,1980
She drives me crazy,EN,1989,Fine young cannibals,Los Superventas,1980
Smooth criminal,EN,1989,Michael Jackson,Los Superventas,1980
Swing the mood,EN,1989,jive bunny  the mastermixers,Los Superventas,1980
Take me to your heart,EN,1989,Rick astley,Los$40$,1980
Te deje marchar,ES,1989,Luz Casal,Los$40$,1980
Teardrops,EN,1989,Womack and womack,Los$40$,1980
thats what i like,EN,1989,jive bunny  the mastermixers,Los Superventas,1980
The look,EN,1989,Roxette,Los Superventas,1980
The sound of c,EN,1989,Confetti's,Los$40$,1980
Toro mecanico,ES,1989,Dinamita pa los pollos,Los$40$,1980
Vivir al este del eden,ES,1989,La union,Los$40$,1980
You got it,EN,1989,Roy Orbison,Los$40$,1980
Acercate y besame,ES,1990,La trampa,Los$40$,1990
All around the world,EN,1990,Lisa stansfield,Los Superventas,1990
Another day in paradise,EN,1990,Phil Collins,Los$40$,1990
Beach boys megamix,EN,1990,The beach boys,Los$40$,1990
Blaze of glory,EN,1990,Jon bon jovi,Los$40$,1990
Can't shake the feeling,EN,1990,Big fun,Los$40$,1990
Canciones lejanas,ES,1990,Eros ramazzotti,Los$40$,1990
Canta por mi,ES,1990,El ultimo de la fila,Los$40$,1990
Corazon de tiza,ES,1990,Radio futura,Los$40$,1990
Cosas de la edad,ES,1990,Modestia aparte,Los$40$,1990
Cult of snap,EN,1990,Snap,Los Superventas,1990
Enjoy the silence,EN,1990,Depeche mode,Los Superventas,1990
Es por tu amor,ES,1990,Modestia aparte,Los$40$,1990
Espaldas mojadas,ES,1990,Tam tam go,Los$40$,1990
Fueron los celos,ES,1990,La union,Los$40$,1990
Get up befor the night is over,EN,1990,Technotronic,Los Superventas,1990
Great balls of fire,EN,1990,Jerry lee lewis,Los$40$,1990
I can't stand it,EN,1990,Twenty 4 seven,Los Superventas,1990
I feel the earth move,EN,1990,Martika,Los$40$,1990
I'm gonna miss you,EN,1990,Milli Vanilli,Los$40$,1990
I'm your baby tonight,EN,1990,Whitney Houston,Los$40$,1990
I've been thinking about you,EN,1990,Londonbeat,Los Superventas,1990
Infinity,EN,1990,Guru josh,Los Superventas,1990
It must have been love,EN,1990,Roxette,Los$40$,1990
It's on you,EN,1990,Mc sar & the real McCoy,Los Superventas,1990
La abuela,ES,1990,Wilfred y la ganga,Los Superventas,1990
Landslide of love,EN,1990,Transvision vamp,Los$40$,1990
live together,EN,1990,Lisa stansfield,Los$40$,1990
Los chicos no lloran,ES,1990,Miguel bose,Los$40$,1990
Los tejados,ES,1990,Complices,Los$40$,1990
Mia,ES,1990,Los rebeldes,Los$40$,1990
Nacido para volar,ES,1990,La frontera,Los$40$,1990
No me importa nada,ES,1990,Luz casal,Los$40$,1990
No problem,ES,1990,Los inhumanos,Los$40$,1990
Nothing compares 2 U,EN,1990,Sinead o'connor,Los$40$,1990
Ooops up,EN,1990,Snap,Los$40$,1990
Praying for time,EN,1990,George michael,Los$40$,1990
Pump up the jam,EN,1990,Technotronic,Los Superventas,1990
Right here waiting,EN,1990,Richard Marx,Los$40$,1990
Rosa gris,ES,1990,Duncan dhu,Los$40$,1990
Rozando la eternidad,ES,1990,Duncan dhu,Los$40$,1990
Sacrifice,EN,1990,Elton John,Los$40$,1990
Si bastasen un par de canciones,ES,1990,Eros ramazzotti,Los$40$,1990
Soldados del amor,ES,1990,Ole ole,Los$40$,1990
Solo se vive una vez,ES,1990,Gabinete Caligari,Los$40$,1990
Step by step,EN,1990,New kids on the block,Los$40$,1990
Suicide blonde,EN,1990,INXS,Los$40$,1990
That's what I like,EN,1990,Jive Bunny & the mastermixers,Los Superventas,1990
The power,EN,1990,Snap,Los Superventas,1990
U can't touch this,EN,1990,MC hammer,Los$40$,1990
Ultimo imperio,ES,1990,Atahualpa,Los Superventas,1990
Veneno en la piel,ES,1990,Radio futura,Los$40$,1990
Vogue,EN,1990,Madonna,Los Superventas,1990
Voy a pasarmelo bien,ES,1990,Hombres G,Los$40$,1990
Words,EN,1990,The christians,Los$40$,1990
Ya no me engañas,ES,1990,Los ronaldos,Los$40$,1990
You got it,EN,1990,New kids on the block,Los$40$,1990
